Name	Protein
Niben261Chr19g0117001.1	TCArel_1
Niben261Chr12g0808072.1	TCArel_2
Niben261Chr04g1786020.1	TCArel_3
Niben261Chr19g0963004.1	TCArel_4
Niben261Chr04g1440002.1	TCArel_5
Niben261Chr10g0111023.1	TCArel_6
Niben261Chr09g0773003.1	TCArel_7
Niben261Chr10g0644003.1	TCArel_9
Niben261Chr08g1247006.1	TCArel_10
Niben261Chr13g1416011.1	TCArel_11
Niben261Chr12g0039003.1	TCArel_12
Niben261Chr10g0207003.1	TCArel_13
Niben261Chr02g0590010.1	TCArel_14
Niben261Chr15g0499013.1	TCArel_15
Niben261Chr07g0077009.1	TCArel_16
Niben261Chr14g0938002.1	TCArel_17
Niben261Chr08g1100014.1	TCArel_18
Niben261Chr09g0703001.1	TCArel_19
Niben261Chr09g0772005.1	TCArel_20
Niben261Chr06g1063006.1	TCArel_21
Niben261Chr01g1539001.1	TCArel_25
Niben261Chr16g0471001.1	TCArel_27
Niben261Chr09g0928009.1	TCArel_28
Niben261Chr10g0503002.1	TCArel_29
Niben261Chr12g0875002.1	TCArel_30
Niben261Chr04g0581005.1	TCArel_31
Niben261Chr01g1593001.1	TCArel_32
Niben261Chr19g0194012.1	TCArel_33
Niben261Chr16g0388017.1	TCArel_34
Niben261Chr07g1508002.1	TCArel_35
Niben261Chr12g0833020.1	TCArel_36
Niben261Chr19g0151004.1	TCArel_37
Niben261Chr07g1390002.1	TCArel_39
Niben261Chr16g0537006.1	TCArel_40
Niben261Chr01g1148001.1	TCArel_42
Niben261Chr14g0963003.1	TCArel_43
Niben261Chr03g0394007.1	TCArel_44
Niben261Chr14g1381033.1	TCArel_45
Niben261Chr03g0393008.1	TCArel_46
Niben261Chr11g1415005.1	TCArel_47
Niben261Chr08g0067016.1	TCArel_48
Niben261Chr06g0437003.1	TCArel_49
Niben261Chr17g0251004.1	TCArel_50
Niben261Chr08g0067017.1	TCArel_51
Niben261Chr16g1178001.1	TCArel_52
Niben261Chr17g0251017.1	TCArel_53
Niben261Chr09g1161015.1	TCArel_54
Niben261Chr09g1161014.1	TCArel_55
Niben261Chr11g1317009.1	TCArel_58
Niben261Chr05g0698012.1	TCArel_59
Niben261Chr11g0710012.1	TCArel_60
Niben261Chr19g0662011.1	TCArel_61
Niben261Chr02g1338012.1	TCArel_62
Niben261Chr01g1439001.1	TCArel_63
Niben261Chr10g1027001.1	TCArel_64
Niben261Chr13g1125004.1	TCArel_65
Niben261Chr19g0930007.1	TCArel_66
Niben261Chr18g0556019.1	TCArel_67
Niben261Chr10g0216001.1	TCArel_68
