ID	Name
Niben261Chr01g1728002.1	NbVPS23a
Niben261Chr17g1223001.1	NbVPS23b
Niben261Chr16g0357009.1	NbVPS28a
Niben261Chr07g1376013.1	NbVPS28b
Niben261Chr02g1090017.1	NbVPS37a
Niben261Chr13g0256010.1	NbVPS37b
Niben261Chr01g1717006.1	NbVPS37c
Niben261Chr02g0543003.1	NbVPS22a
Niben261Chr10g0254007.1	NbVPS22b
Niben261Chr04g0444003.1	NbVPS25a
Niben261Chr02g1045008.1	NbVPS25b
Niben261Chr10g0357011.1	NbVPS36a
Niben261Chr09g1054031.1	NbVPS36b
Niben261Chr17g0321006.1	NbFAB1a
Niben261Chr16g1294004.1	NbFAB1b
Niben261Chr08g0016008.1	NbFAB1c
Niben261Chr06g0508001.1	NbFAB1d
Niben261Chr04g0447003.1	NbVPS20a
Niben261Chr02g1288005.1	NbVPS20b
Niben261Chr02g1044012.1	NbVPS20c
Niben261Chr14g0425009.1	NbSNF7a
Niben261Chr01g0881006.1	NbSNF7b
Niben261Chr14g0093011.1	NbSNF7c
Niben261Chr04g1816001.1	NbSNF7d
Niben261Chr17g1539002.1	NbSNF7e
Niben261Chr14g1027001.1	NbSNF7f
Niben261Chr12g0655006.1	NbSNF7g
Niben261Chr03g1548001.1	NbSNF7h
Niben261Chr18g0042009.1	NbVPS24a
Niben261Chr10g1197001.1	NbVPS24b
Niben261Chr03g1273013.1	NbVPS24c
Niben261Chr14g0123065.1	NbVPS2-1a
Niben261Chr04g1798008.1	NbVPS2-1b
Niben261Chr15g0982012.1	NbVPS2-2a
Niben261Chr15g0982009.1	NbVPS2-2b
Niben261Chr07g1217009.1	NbVPS2-2c
Niben261Chr15g1497007.1	NbVPS2-3a
Niben261Chr07g0694004.1	NbVPS2-3b
Niben261Chr08g0049019.1	NbCHMP1a
Niben261Chr08g1316003.1	NbCHMP1b
Niben261Chr13g0815012.1	NbCHMP1c
Niben261Chr18g0411001.1	NbLOST
Niben261Chr19g1350005.1	NbVPS60a
Niben261Chr06g0307022.1	NbVPS60b
Niben261Chr14g0635019.1	NbVPS60c
Niben261Chr17g0189006.1	NbVPS60d
Niben261Chr15g0702010.1	NbVPS60e
Niben261Chr11g0940012.1	NbISTL1a
Niben261Chr05g0157003.1	NbISTL1b
Niben261Chr04g1488009.1	NbISTL2
Niben261Chr15g1069010.1	NbISTL3a
Niben261Chr07g1157002.1	NbISTL3b
Niben261Chr19g0019006.1	NbISTL5a
Niben261Chr11g0004017.1	NbISTL5b
Niben261Chr19g1427018.1	NbISTL6a
Niben261Chr02g0990005.1	NbISTL6b
Niben261Chr11g0105002.1	NbISTL10a
Niben261Chr08g1126003.1	NbISTL10b
Niben261Chr09g0535003.1	NbCHMP7
