Name	Protein
Niben261Chr09g0439005.1	Phenyl_1
Niben261Chr04g1594005.1	Phenyl_2
Niben261Chr17g1072027.1	Phenyl_3
Niben261Chr08g0105021.1	Phenyl_4
Niben261Chr12g1491003.1	Phenyl_5
Niben261Chr03g1002005.1	Phenyl_6
Niben261Chr16g0357004.1	Phenyl_7
Niben261Chr06g1154012.1	Phenyl_8
Niben261Chr06g1154013.1	Phenyl_9
Niben261Chr17g0588006.1	Phenyl_12
Niben261Chr12g0609008.1	Phenyl_13
Niben261Chr01g0380002.1	Phenyl_14
Niben261Chr01g0335008.1	Phenyl_15
Niben261Chr11g1180001.1	Phenyl_16
Niben261Chr12g0610001.1	Phenyl_17
Niben261Chr05g0519007.1	Phenyl_18
Niben261Chr09g0651008.1	Phenyl_25
Niben261Chr10g0608019.1	Phenyl_42
Niben261Chr06g1077002.1	Phenyl_54
Niben261Chr12g0933008.1	Phenyl_55
Niben261Chr10g0912011.1	Phenyl_56
Niben261Chr15g1082002.1	Phenyl_58
Niben261Chr04g1001003.1	Phenyl_59
Niben261Chr02g1352012.1	Phenyl_62
Niben261Chr18g1223015.1	Phenyl_64
Niben261Chr07g1149007.1	Phenyl_66
Niben261Chr16g0042012.1	Phenyl_67
Niben261Chr02g1352013.1	Phenyl_68
Niben261Chr16g0042009.1	Phenyl_69
Niben261Chr07g1088013.1	Phenyl_73
Niben261Chr15g0270004.1	Phenyl_74
Niben261Chr11g1324003.1	Phenyl_77
Niben261Chr19g0300011.1	Phenyl_81
Niben261Chr11g0963001.1	Phenyl_82
Niben261Chr11g0963003.1	Phenyl_86
Niben261Chr12g0410001.1	Phenyl_87
Niben261Chr01g0132001.1	Phenyl_88
Niben261Chr17g0947012.1	Phenyl_89
Niben261Chr12g0699013.1	Phenyl_91
Niben261Chr07g0609009.1	Phenyl_93
Niben261Chr16g0434008.1	Phenyl_96
Niben261Chr11g0963014.1	Phenyl_98
Niben261Chr16g0236024.1	Phenyl_107
Niben261Chr08g0930009.1	Phenyl_110
Niben261Chr18g0191012.1	Phenyl_114
Niben261Chr16g0732006.1	Phenyl_117
Niben261Chr07g1381002.1	Phenyl_118
Niben261Chr11g0598005.1	Phenyl_127
Niben261Chr14g0754010.1	Phenyl_133
Niben261Chr05g0190002.1	Phenyl_136
Niben261Chr09g0801010.1	Phenyl_137
Niben261Chr03g0705010.1	Phenyl_138
Niben261Chr14g1156009.1	Phenyl_141
Niben261Chr07g1361002.1	Phenyl_142
Niben261Chr16g0338003.1	Phenyl_143
Niben261Chr06g0867003.1	Phenyl_146
Niben261Chr19g0642001.1	Phenyl_153
Niben261Chr02g1074013.1	Phenyl_163
Niben261Chr03g1468004.1	Phenyl_171
Niben261Chr04g0137001.1	Phenyl_172
Niben261Chr13g1201005.1	Phenyl_173
Niben261Chr12g1442016.1	Phenyl_178
Niben261Chr12g0247005.1	Phenyl_180
Niben261Chr11g0598006.1	Phenyl_185
Niben261Chr11g1324004.1	Phenyl_189
Niben261Chr11g1324008.1	Phenyl_190
Niben261Chr05g0687008.1	Phenyl_191
Niben261Chr16g0336001.1	Phenyl_193
Niben261Chr16g0338007.1	Phenyl_194
Niben261Chr08g0065001.1	Phenyl_197
Niben261Chr01g0015010.1	Phenyl_200
Niben261Chr02g1293010.1	Phenyl_201
Niben261Chr18g0227007.1	Phenyl_206
Niben261Chr08g0153003.1	Phenyl_208
Niben261Chr13g1349003.1	Phenyl_209
Niben261Chr04g1754001.1	Phenyl_210
Niben261Chr17g1500007.1	Phenyl_211
Niben261Chr03g0210003.1	Phenyl_212
Niben261Chr10g0535004.1	Phenyl_213
Niben261Chr09g0894019.1	Phenyl_214
Niben261Chr09g0597034.1	Phenyl_215
Niben261Chr03g0209010.1	Phenyl_217
Niben261Chr11g0719006.1	Phenyl_218
Niben261Chr17g1500002.1	Phenyl_219
Niben261Chr11g1311014.1	Phenyl_220
Niben261Chr17g0604005.1	Phenyl_221
Niben261Chr16g1151007.1	Phenyl_222
Niben261Chr11g0720004.1	Phenyl_223
Niben261Chr07g1486018.1	Phenyl_224
Niben261Chr16g1151004.1	Phenyl_225
Niben261Chr14g1222007.1	Phenyl_226
Niben261Chr05g0910021.1	Phenyl_229
Niben261Chr06g1203018.1	Phenyl_232
Niben261Chr03g0227001.1	Phenyl_233
Niben261Chr07g0565006.1	Phenyl_234
Niben261Chr09g1283001.1	Phenyl_235
Niben261Chr06g1203007.1	Phenyl_236
Niben261Chr15g0163021.1	Phenyl_237
Niben261Chr01g0880010.1	Phenyl_238
Niben261Chr04g0364006.1	Phenyl_240
Niben261Chr01g1061035.1	Phenyl_241
Niben261Chr19g0446002.1	Phenyl_242
Niben261Chr06g0158010.1	Phenyl_245
Niben261Chr02g0552001.1	Phenyl_250
Niben261Chr15g1347003.1	Phenyl_251
Niben261Chr07g1218018.1	Phenyl_252
Niben261Chr15g1347006.1	Phenyl_255
Niben261Chr07g1226007.1	Phenyl_256
Niben261Chr16g0334003.1	Phenyl_257
Niben261Chr07g0489005.1	Phenyl_262
Niben261Scf00758g0000002.1	Phenyl_263
Niben261Chr07g0489002.1	Phenyl_264
Niben261Chr08g0671002.1	Phenyl_266
Niben261Chr02g1121003.1	Phenyl_269
Niben261Chr18g1465001.1	Phenyl_282
Niben261Chr08g0132011.1	Phenyl_283
Niben261Chr02g1481006.1	Phenyl_285
Niben261Chr08g0369024.1	Phenyl_286
Niben261Chr06g0705006.1	Phenyl_287
Niben261Chr13g0739003.1	Phenyl_288
Niben261Chr08g1153002.1	Phenyl_289
Niben261Chr18g0044023.1	Phenyl_291
Niben261Chr03g1266005.1	Phenyl_293
Niben261Chr16g0476010.1	Phenyl_294
Niben261Chr02g1343006.1	Phenyl_295
Niben261Chr18g1109010.1	Phenyl_296
Niben261Chr03g0452001.1	Phenyl_297
Niben261Chr19g1124003.1	Phenyl_298
Niben261Chr06g0626011.1	Phenyl_299
Niben261Chr19g0786003.1	Phenyl_300
Niben261Chr08g0301076.1	Phenyl_301
Niben261Chr19g0653009.1	Phenyl_304
Niben261Chr09g0997002.1	Phenyl_305
Niben261Chr09g0549006.1	Phenyl_306
Niben261Chr01g1081002.1	Phenyl_307
Niben261Chr08g0084016.1	Phenyl_308
Niben261Chr10g0009009.1	Phenyl_309
Niben261Chr09g0451003.1	Phenyl_310
Niben261Chr05g0654002.1	Phenyl_311
Niben261Chr15g1223004.1	Phenyl_312
Niben261Chr07g1128012.1	Phenyl_313
Niben261Chr19g1442001.1	Phenyl_314
Niben261Chr04g0220008.1	Phenyl_316
Niben261Chr03g1036004.1	Phenyl_320
Niben261Chr18g0820005.1	Phenyl_321
Niben261Chr19g1275005.1	Phenyl_324
Niben261Chr10g0121009.1	Phenyl_325
Niben261Chr06g0726006.1	Phenyl_329
Niben261Chr16g0175005.1	Phenyl_330
Niben261Chr12g0897014.1	Phenyl_331
Niben261Chr16g0173004.1	Phenyl_332
Niben261Chr09g1306015.1	Phenyl_333
Niben261Chr04g0357001.1	Phenyl_336
Niben261Chr08g0385003.1	Phenyl_338
Niben261Chr13g1474010.1	Phenyl_341
Niben261Chr13g0665011.1	Phenyl_344
Niben261Chr03g0320012.1	Phenyl_348
Niben261Chr11g0179001.1	Phenyl_350
Niben261Scf01817g0000002.1	Phenyl_355
Niben261Chr05g0860001.1	Phenyl_356
Niben261Chr11g1283004.1	Phenyl_358
Niben261Chr19g0745003.1	Phenyl_359
Niben261Chr13g0948001.1	Phenyl_360
Niben261Chr16g0561007.1	Phenyl_364
Niben261Chr17g0328008.1	Phenyl_365
Niben261Chr12g1343002.1	Phenyl_366
Niben261Chr15g1002003.1	Phenyl_367
Niben261Chr06g0090001.1	Phenyl_368
Niben261Chr06g0095051.1	Phenyl_369
Niben261Chr12g1366005.1	Phenyl_370
Niben261Chr06g0095047.1	Phenyl_371
Niben261Chr18g1295002.1	Phenyl_372
Niben261Chr12g1366006.1	Phenyl_373
Niben261Chr12g1346012.1	Phenyl_374
Niben261Chr08g1128013.1	Phenyl_375
Niben261Chr09g1274005.1	Phenyl_376
Niben261Chr06g0095054.1	Phenyl_377
Niben261Chr12g1365007.1	Phenyl_380
Niben261Chr12g1346011.1	Phenyl_388
Niben261Chr10g0349012.1	Phenyl_390
Niben261Chr09g1059012.1	Phenyl_391
Niben261Chr04g0292014.1	Phenyl_392
Niben261Chr06g0359004.1	Phenyl_393
Niben261Chr17g1326001.1	Phenyl_395
Niben261Chr06g0357003.1	Phenyl_396
Niben261Chr14g0978014.1	Phenyl_397
Niben261Chr14g0978008.1	Phenyl_399
Niben261Chr15g1173001.1	Phenyl_400
Niben261Chr18g0107002.1	Phenyl_403
Niben261Chr09g0025009.1	Phenyl_404
Niben261Chr03g0596004.1	Phenyl_406
Niben261Chr15g0563001.1	Phenyl_412
Niben261Chr15g0563002.1	Phenyl_413
Niben261Chr15g0562005.1	Phenyl_414
Niben261Chr07g0234002.1	Phenyl_415
Niben261Chr04g0027004.1	Phenyl_416
Niben261Chr14g0624003.1	Phenyl_421
Niben261Chr17g1295011.1	Phenyl_422
Niben261Chr16g0723004.1	Phenyl_425
Niben261Chr07g1377011.1	Phenyl_426
Niben261Chr03g0997004.1	Phenyl_428
Niben261Chr06g0254003.1	Phenyl_429
Niben261Chr05g0044008.1	Phenyl_430
Niben261Chr19g0406015.1	Phenyl_434
Niben261Chr14g0850013.1	Phenyl_439
Niben261Chr15g0462004.1	Phenyl_443
Niben261Chr07g0054006.1	Phenyl_444
Niben261Chr07g0056003.1	Phenyl_445
Niben261Chr06g0976008.1	Phenyl_446
Niben261Chr01g1058003.1	Phenyl_447
Niben261Chr05g0652003.1	Phenyl_448
Niben261Chr11g1354002.1	Phenyl_456
Niben261Chr07g1223015.1	Phenyl_458
