Name	Protein
Niben261Chr13g1342002.1	Photosynthesis_2
Niben261Chr01g0049003.1	Photosynthesis_4
Niben261Chr19g0152003.1	Photosynthesis_5
Niben261Chr12g0838009.1	Photosynthesis_6
Niben261Chr15g0653006.1	Photosynthesis_7
Niben261Chr14g0502004.1	Photosynthesis_8
Niben261Chr04g1722009.1	Photosynthesis_9
Niben261Chr13g0760001.1	Photosynthesis_10
Niben261Chr17g1531017.1	Photosynthesis_11
Niben261Chr16g1008011.1	Photosynthesis_13
Niben261Chr04g1725006.1	Photosynthesis_15
Niben261Chr19g1025007.1	Photosynthesis_17
Niben261Chr02g0869015.1	Photosynthesis_18
Niben261Chr07g1383002.1	Photosynthesis_19
Niben261Chr16g0734012.1	Photosynthesis_20
Niben261Chr17g1148002.1	Photosynthesis_22
Niben261Chr15g1097004.1	Photosynthesis_25
Niben261Chr07g1056005.1	Photosynthesis_26
Niben261Chr07g0469010.1	Photosynthesis_27
Niben261Chr15g1337005.1	Photosynthesis_28
Niben261Chr07g0266005.1	Photosynthesis_29
Niben261Chr01g1061005.1	Photosynthesis_30
Niben261Chr04g0376002.1	Photosynthesis_31
Niben261Chr07g0516001.1	Photosynthesis_32
Niben261Chr07g0878008.1	Photosynthesis_33
Niben261Chr15g1323009.1	Photosynthesis_34
Niben261Chr07g1213011.1	Photosynthesis_35
Niben261Chr15g0993014.1	Photosynthesis_36
Niben261Chr01g1334004.1	Photosynthesis_38
Niben261Chr12g0205002.1	Photosynthesis_39
Niben261Chr13g0961005.1	Photosynthesis_40
Niben261Chr05g0931005.1	Photosynthesis_41
Niben261Chr17g0252012.1	Photosynthesis_42
Niben261Chr16g1177004.1	Photosynthesis_43
Niben261Chr06g0436010.1	Photosynthesis_44
Niben261Chr13g0799005.1	Photosynthesis_45
Niben261Chr08g1295004.1	Photosynthesis_46
Niben261Chr08g0067004.1	Photosynthesis_47
Niben261Chr02g0566003.1	Photosynthesis_48
Niben261Chr10g0228011.1	Photosynthesis_49
Niben261Chr10g0228013.1	Photosynthesis_50
Niben261Chr02g0566002.1	Photosynthesis_51
Niben261Chr06g0605003.1	Photosynthesis_52
Niben261Chr13g1258002.1	Photosynthesis_53
Niben261Chr18g0584001.1	Photosynthesis_54
Niben261Chr03g0877018.1	Photosynthesis_55
Niben261Chr17g1358004.1	Photosynthesis_57
Niben261Chr04g0062016.1	Photosynthesis_58
Niben261Chr13g0630020.1	Photosynthesis_59
Niben261Chr04g1617005.1	Photosynthesis_60
Niben261Chr13g0608012.1	Photosynthesis_61
Niben261Chr04g0013010.1	Photosynthesis_62
Niben261Chr17g1231003.1	Photosynthesis_63
Niben261Chr10g0262024.1	Photosynthesis_64
Niben261Chr02g0532034.1	Photosynthesis_65
Niben261Chr15g1165011.1	Photosynthesis_66
Niben261Chr07g0941010.1	Photosynthesis_67
Niben261Chr07g1023002.1	Photosynthesis_68
Niben261Chr01g0731001.1	Photosynthesis_69
Niben261Chr17g0168035.1	Photosynthesis_70
Niben261Chr16g1281006.1	Photosynthesis_71
Niben261Chr04g0898006.1	Photosynthesis_72
Niben261Chr14g0161005.1	Photosynthesis_73
Niben261Chr08g1132007.1	Photosynthesis_74
Niben261Chr16g0350013.1	Photosynthesis_75
Niben261Chr07g1369024.1	Photosynthesis_76
Niben261Chr13g0654019.1	Photosynthesis_77
Niben261Chr04g1643004.1	Photosynthesis_78
Niben261Chr04g1643020.1	Photosynthesis_79
Niben261Chr19g1127025.1	Photosynthesis_80
Niben261Chr04g0053010.1	Photosynthesis_81
Niben261Chr17g1369010.1	Photosynthesis_82
Niben261Chr03g1444004.1	Photosynthesis_83
Niben261Chr18g0221005.1	Photosynthesis_84
Niben261Chr13g0898001.1	Photosynthesis_86
Niben261Chr05g1187003.1	Photosynthesis_87
Niben261Chr07g1201006.1	Photosynthesis_88
Niben261Chr15g1009003.1	Photosynthesis_89
Niben261Scf01719g0000003.1	Photosynthesis_91
Niben261Chr05g1379010.1	Photosynthesis_92
